"","Lupus","WT"
"Coro2a",0.556290600364956,-0.520167321009948
"Tgfbr1",0.26327146527042,-0.253612787240874
"Gm2083",1.29282766698451,-1.23180828148255
"Bspry",0.82732817075959,-0.646653730501081
"Hdhd3",1.5638377577999,-1.48003322222799
"Alad",1.27048450242565,-1.2268990414463
"4933430I17Rik",0.901516136236199,-0.918141290369309
"Akna",0.467241017125032,-0.479122191539703
"Ttc39b",0.304624494788139,-0.270391011320901
"Gm11413",0.486119445279663,-0.346144051642128
"Acer2",0.292988625184356,-0.152666417920584
"Cyp2j12",0.587812833766511,-0.0961050846515584
"Leprot",0.296344996664961,-0.0800845620479628
"Tmem69",0.396494528459402,0.0133793146369098
"Cldn19",0.406823626510513,-0.437805186537377
"Ybx1",0.364525845223386,-0.141079371974412
"Cap1",0.340186219796711,-0.205770201372256
"Mfsd2a",0.513880759295698,-0.253738882885531
"Trit1",0.318346147357153,0.0556628606962727
"Zc3h12a",0.271272679849705,-0.440558247251783
"Ak2",0.271987100448399,-0.10978721833167
"Laptm5",0.370956441831235,-0.37750817258752
"Themis2",0.442949383323354,-0.4885748943056
"Gpr3",0.378468116434554,0.0664748164236984
"Rps6ka1",0.250378040997313,-0.192348138292265
"Runx3",0.348879751131928,-0.354933830559664
"Efhd2",0.347231757003027,-0.355689501908835
"Fhad1",0.311588348865011,-0.2481195644598
"Tnfrsf1b",0.35568615721638,-0.271359068024424
"Agtrap",0.377388071575093,-0.433182026597596
"Angptl7",0.339292797834482,-0.229479064811068
"Lrrc47",0.416925985374966,-0.204020726774877
"Tnfrsf14",0.342447022623987,-0.475871039271776
"Cdk6",0.400836803296057,-0.279553620795187
"Dbf4",0.510945676506438,-0.130562482057966
"A630072M18Rik",0.372581168889958,-0.129070027605663
"Ccdc146",0.324843348261978,-0.32048641056064
"Fgl2",0.497028912547085,-0.439576690183416
"Rbks",0.311270167435918,-0.0113164812300553
"Zfyve28",0.296058835426105,-0.119020135733422
"Sh3bp2",0.351036499722055,-0.23450546876437
"Wdr1",0.336796210536808,-0.126422367029989
"Lap3",0.368389847876462,-0.254638128900778
"Tec",0.21603973978538,-0.0765858036139008
