"","D01116_test","D01117_test","D01118_test","D01119_test","D01120_test"
"Rgcc",-0.463842420416594,0.316130856249907,-0.541539357008417,0.216378935694646,0.4146063547167
"Grap2",-0.444384596043327,0.302834534225536,-0.242777674216522,-0.433304973255703,0.496398219845391
"Wnt7b",-0.0379136409007562,0.294717082976775,-0.332056273132424,-0.163755874783858,0.23572157581337
"Pced1b",-0.367962373017798,0.316199205839658,0.0878075154999929,-0.271553217512998,0.213420417556888
"Cebpd",-0.426470771378278,0.355753871504758,-0.019795660596493,-0.396677620067337,0.46850820217818
"A230028O05Rik",-0.625894946499478,0.261012603344974,-0.030577120948024,-0.00257522852925544,0.224330980551322
"Slc5a3",-0.316928861773778,0.312608776312778,-0.540343784315709,0.171661941148089,0.32010555057514
"Mrps6",-0.178625174704262,0.241964057823162,-0.562869650614664,0.161065019597095,0.345122732568853
"Mx1",-0.33697006221047,0.437057922113838,0.0133689019409255,-0.0140694104694636,0.531885787538661
"Fkbp5",-0.59250375316602,0.252191811600004,0.143393464498266,-0.496758731845797,0.456967702298098
"Glo1",-0.793415955362467,0.366857538038643,0.246393295756851,-0.724660750640573,0.442251784430297
"Slc37a1",-0.054144504127763,0.293816465916741,-0.21510720235371,-0.222272811734059,0.326591928173952
"D17H6S56E-5",-0.217843127623992,0.322491849792376,0.030048962832247,-0.0906257388186275,0.337016608648916
"Map3k8",-0.373437505615477,0.312864919645026,-0.232840693513547,-0.0632967831570273,0.328430346681445
"Me2",-0.0722342684063704,0.250555765314281,-0.024311464914595,0.152500899207888,0.248837080398194
"Mettl8",-0.034915386281243,0.235800511065356,-0.0451918558686504,-0.24153981979469,0.310541885169652
"Frzb",-0.435108224504182,0.296286657529133,0.118270086581552,-0.663605265234255,0.609942825122776
"Cd44",-0.719131529570608,0.259886043502148,-0.0329284473668898,-0.218666722619403,0.35927129381859
"Slco4a1",-0.143777896060334,0.232183798448032,-0.213809071636322,-0.191401706210165,0.299762519541123
"Tmem154",-0.389298431418501,0.370463488702531,0.0491783666454206,-0.241820650332777,0.301751603794527
"Il6ra",-0.311202932270846,0.343504940464649,-0.0594181619051539,-0.250147881730299,0.302320075116593
"Gm15441",-0.173211946081765,0.207381962520821,-0.52494038392781,0.138851083406841,0.488749835353662
