"","C1","C2","C3","C4","C5","C6","C7","C8","C9"
"Slc7a5",0.412923193480479,0.00230037284156913,-0.0397804909012627,-0.0794845219101031,0.294052585856716,0.210240611272539,-0.144130086678405,-0.114751863531711,0.131988090532897
"Prkch",0.360863542102697,-0.149846677690761,-0.0339102925236372,-0.0878754287982368,0.110484283151134,0.255067958480452,-0.106327929459432,-0.0191298498635676,-0.20048789553528
"Plec",0.386819346469467,0.0911968423785972,-0.035617705975952,0.0133619711580597,-0.0500205156104635,0.311079862758124,-0.139437677114406,-0.110200958831556,-0.0680088903349357
"Camk1d",0.257692725579099,-0.30195891970965,-0.111487681110482,-0.0653132084562187,0.123306829673895,0.285655563038531,-0.125418905380049,-0.0760126568185838,0.00140814386460863
"Ints7",0.350658452246826,-0.0350408781537873,0.112558324627863,-0.0595105641539282,0.101281082012226,0.0655814977337845,0.34085003163064,-0.0931432652667575,-0.136187983051555
"Auh",0.249861635099317,0.0952666071649579,0.123494179194667,-0.0296392091639282,-0.0553460590793812,-0.112080123111892,0.206517641003567,-0.0662920669702326,-0.178123114516416
"Ecd",0.753551138012177,0.0498746544058107,0.0121892575457438,0.122105130325734,-0.179502277638504,-0.327580143221582,0.457484132451893,-0.0304385777562223,0.0562034636481842
"Ralgds",0.564733194274004,0.0534435499612756,0.129922121627151,-0.124872113293877,-0.0730308641484055,0.0409905942308371,0.243021346474655,-0.151064110251491,-0.133563268513673
"Mfsd2a",0.600209133010159,-0.109285461934499,0.132258458049168,-0.063424050785897,-0.178955477722502,-0.141175549406826,0.625809625643156,-0.0116372923637708,-0.357193545885243
"Irf5",0.481894548188674,0.0311383657095642,0.0378098839479538,-0.0368128449852787,-0.0419177226852401,-0.101166021069858,0.448317190534362,-0.101067469495897,-0.127826673409632
"Rab27a",0.491888171260686,0.117270934551901,0.0194103953010098,-0.273317120717274,-0.078799375138171,0.0367199131148327,0.313227002208653,-0.106106133836755,-0.26494990954106
"Myo5a",0.550682564969991,-0.16608816557317,0.217189735781892,0.0562750539859826,-0.0261955430137494,-0.0267123515594464,0.331511537267402,0.0980717388694013,-0.322266024334728
"Cflar",0.437585929475268,0.218262811684775,0.2022719827948,0.0868087441478295,-0.317671091354348,-0.0907431308704284,0.0807466195282041,-0.032846404370753,0.0445930230435155
"Trim7",0.464557979820125,0.268887107086566,0.316552369594677,0.096444673367029,-0.243885110045283,-0.222632001410514,0.240026055380258,0.0227028507602499,0.0388593597304006
"Ikzf3",1.45664953394497,0.0524957060727008,0.266910683746011,0.0630608902614867,-0.08893328719254,-0.0630367062507605,-0.131167379763744,-0.0328234457760217,-0.224369320471303
"Bmp2k",0.405958624217255,0.239976872836096,0.20244135358223,0.142252459071292,-0.0580182226944126,0.0454707164063273,0.081645399902744,0.0694325907210683,0.0548814595338921
"Ddias",0.632292314121256,0.105414349899692,0.270119185783389,0.0555145900683222,-0.0662664407632992,-0.0410600360939983,-0.0168801233869999,-0.113524565282187,0.171422193946736
"Dcaf15",0.625675241860644,0.19449045718892,0.279250438705165,0.134028889320459,-0.14824436706596,0.0109906418032035,0.0831571318859648,0.0863492373813288,-0.0223346170067432
"Acd",0.824242045430348,0.400932280626918,0.35560449055823,-0.0328319428118973,0.0124044577770398,-0.166953144984866,0.0219106932239351,-0.0873657487215322,-0.0450481651552699
"Sp9",0.80203247220936,0.300096283933849,0.275696149339087,0.485068612394735,0.131623423372599,-0.445802618666029,-0.100940032721334,-0.0958256825268146,-0.107391113172784
"Atp11b",0.522922256740251,0.039304038986935,0.224963341591569,0.303791139776452,-0.111977852696707,-0.0752992381361795,0.0577201079712279,0.0754545615869776,-0.0674494941158574
"Icam4",0.666605050296573,0.396640236143449,0.103659067190851,0.519020135978508,0.0199808105736182,0.323962563179633,-0.126223232016558,0.0979003930213558,-0.107554662945659
"Tcf24",1.0294160509548,0.487407103115907,0.0314554155784955,0.116588602358233,-0.0822804750196704,0.0838197663229901,0.167261441627122,0.0182521726876357,0.157297075733233
"Eloc",0.638181920748213,0.121810537318734,0.0408002973942296,0.0210797374087769,0.158296304208283,0.138881041715683,-0.019992812505259,0.210299480382146,-0.131105149173055
"D030040B21Rik",0.809009525750377,0.238335083582283,0.0834738028051345,0.104928756261695,0.181912188343849,0.072100579152733,0.00445774288615069,0.14440161814131,-0.130092342983038
"Ly96",0.684842632404932,-0.149407025143584,-0.0312054474811653,0.218587438683441,0.000440090922767328,0.298550046675528,-0.118109434614485,0.0890764795530564,-0.187251611550441
"Efhc1",0.827689153172407,-0.439247511706572,0.0371883945166061,-0.120631212387477,0.1415357419294,0.202961051044925,-0.0317487444824975,0.0921649108237091,-0.285578771887253
"Tram2",0.386722166575833,-0.147643233423749,0.0291617601824796,0.0212259835060382,0.0123612827245266,0.127659109591707,0.0873978217118482,0.0439292060818883,0.0185976364718332
"Ptpn18",0.868503034945985,-0.250525958848094,-0.00150087407999701,0.0474015911943063,-0.0535102731228168,0.0870603644031343,0.0358752107893029,0.135175524760113,-0.12524299385748
"Prss39",0.71370975272896,-0.185420863122184,0.241572131582782,0.081791866459128,-0.128211650904071,0.131841219815464,-0.169193524503783,-0.175100284104027,0.115410508898911
"Fam168b",0.517653028548598,0.120284483413775,-0.052074987549353,0.175232512368968,-0.0251724209362051,0.112924682515384,-0.145891327641392,0.0436312652174157,0.264533804652411
"Neurl3",0.75350125841316,-0.196968950839375,-0.0931684356505753,-0.00337164573332078,0.217933494387754,0.0425837989691757,-0.202362187848389,0.0425707463026444,-0.277712902548507
"Arid5a",0.625354031862856,0.0284504623476479,0.055552932378559,-0.0688697761622711,-0.0239332517527804,0.00286123116733767,-0.109494210381756,-0.129691665548613,0.0317122713510698
"Actr1b",0.457251018464311,0.21371609981065,0.167757191418868,0.222088115988302,-0.0100113302979956,-0.069521668611621,0.0348139528243472,-0.102792497946848,-0.110381259851328
